1,,Chemise Bulle,70,unit,0
2,Picture,Registre 384 pages,3,unit,0
3,Picture,Registre 192 pages,3,unit,0
4,Picture,Registre 288 pages,5,unit,0
5,Picture,Registre 480 pages,4,unit,0
6,Picture,Papier Mousse Brillant Autocolant,254 piece,unit,0
7,Picture,Money Shooter ,2,unit,0
8,Picture,Clip Board A4,2,unit,0
9,Picture,Clip Board FC,1,unit,0
10,Picture,Archivador / Lever Arch File,2,unit,0
11,Picture,Cartouche Toner,0,unit,0
12,Picture,des gobelets en plastique jetables,100,unit,0
13,Picture,enveloppe moyenne blanc,375,unit,0
14,Picture,enveloppe petite blanc,64,unit,0
15,Picture,Dossier d'inscription bleu Amine,60,unit,0
16,Picture,Chemises Cartonnees,150,unit,0
17,Picture,sac poubelle,1,unit,0
18,Picture,Tele Fix GRANDSTREAM,1,unit,0
19,,Porte-documents,39,unit,0
20,Picture,Pocket A4,410,unit,0
21,Picture,Chemise a Rabat,52,unit,0
22,Picture,EUR FIX SILICIONE SEALANT,1,unit,0
23,Picture,??? ????? ??????? (????) ,229,unit,0
24,Picture, classeur en carton vert,26,unit,0
25,Picture,Ceinture de tente,1,unit,0
26,Picture,Dossier jaune pour al amine,184,unit,0
27,Picture,Dossier vert pour al amine,103,unit,0
28,Picture, Enveloppe jaune petite,104,unit,0
29,Picture,Enveloppe jaune moyenne,67,unit,0
30,Picture,Enveloppe jaune grande ,83,unit,0
31,Picture,Enveloppe kraft A2,112,unit,0
32,Picture,Enveloppe kraft A3,96,unit,0
33,Picture,Enveloppe kraft A4,20,unit,0
34,Picture,Dossier d'inscription vert Amine ,150,unit,0
35,Picture,Dossier d'inscription jaune Amine ,144,unit,0
36,,????? ??????? ????????,237,unit,0
37,Picture,Carte étudiante verte,62,unit,0
38,Picture,Attente Musicale,1,unit,0
39,Picture,Carte pour la Journée de la femme,574,unit,0
40,Picture,??? ????? ?????? (????) ???? ,15,unit,0
41,Picture,PE WARNING TAPE,5,unit,0
42,Picture,TV CAPTURE,1,unit,0
43,Picture,JVC Video Cassette Recorder (VCR),1,unit,0
44,Picture,MacBook (Apple Laptop Battery),1,unit,0
45,Picture,Tele Commande DVR,2,unit,0
46,Picture,PC pour DVD et DVR ,1,unit,0
47,Picture,Cassette,12,unit,0
48,Picture,Badge rouge Amine,769,unit,0
49,Picture,Badge jaune Fondation Mohammed VI,103,unit,0
50,Picture,support de badge,17,unit,0
51,Picture,médaille Amine,70,unit,0
52,Picture,Sol-Obs 14,7,unit,0
53,Picture,???? ?????? ?????? ??????,7,unit,0
54,Picture,???? ??????? ??????,18,unit,0
55,Picture,disjoncteur miniature tripolaire (MCB) ,1,unit,0
56,Picture,Panneau de contrôle électronique,0,unit,0
57,Picture,Câble multiconducteur avec connecteurs,0,unit,0
58,Picture,Bobine de câble électrique,0,unit,0
59,Picture,Paquet scellé avec équipement,0,unit,0
60,Picture,Paille bleue pliable,430,unit,0
61,Picture,Point de access/Router RG-EW 1800 GX PRO,1,unit,0
62,Picture,Router TPlink,0,unit,0
63,Picture,sac bleu et or,2,unit,0
64,Picture,???? ???? ????? ?????,5,unit,0
65,Picture,2 MIC Speaker,2,unit,0
66,Picture,Baguettes,254,unit,0
67,Picture,Papier a dessin color,36,unit,0
68,Picture,Papier a dessin,80,unit,0
69,Picture,Textliver (florison),35,unit,0
70,Picture,Livre Archifle ,11,unit,0
71,Picture,JBL Wireless ,6,unit,0
72,Picture,les agrafes ,4,unit,0
73,Picture,Stic ,5,unit,0
74,Picture,Boite d'archife,22,unit,0
75,Picture,DataShow Promethean,2,unit,0
76,Picture,parapluies,4,unit,0
77,Picture,statue de chameau,1,unit,0
78,Picture,Panneau du Roi,3,unit,0
79,Picture,Intercalaires,13,unit,0
80,Picture,panneau d'avertissement,1,unit,0
81,Picture,???? ????? ???,1,unit,0
82,Picture,Grand compas pour tableau,6,unit,0
83,Picture,???? ???? ????? ???????,6,unit,0
84,Picture,DataShow EPSON,4,unit,0
85,Picture,????? ?????? ????? ????? ??????? ??????????,2,unit,0
86,Picture,panneau logo alamine,1,unit,0
87,Picture,FUSER CLEANING WEB,1,unit,0
88,Picture,Lamp de datashow ,4,unit,0
89,Picture,mecanisme poussoir a cable PVC,1,unit,0
90,Picture,Flip chart,115 papier,unit,0
91,Picture,Boulier,2,unit,0
92,Picture,Projector Mount grande,2,unit,0
93,Picture,Projector ceiling and wellMount ,14,unit,0
94,Picture,lamp filtage ,78,unit,0
95,Picture,???? ??????,1,unit,0
96,Picture,papier duplexe color,307,unit,0
97,Picture,???? ??????? ???????,20,unit,0
98,Picture,Ingelec golot poutre,1,unit,0
99,Picture,???? ????? ,20,unit,0
100,Picture,Marqueurs,21,unit,0
101,Picture,Aspirateur,1,unit,0
102,Picture,POMP de Niveau élémentaire,1,unit,0
103,Picture,rallonge,2,unit,0
104,Picture,Bon de Gasoil,29,unit,0
105,Picture,Bon de Piece de Caisse Depenses,15,unit,0
106,Picture,Brosse Magnetique,0,unit,0
107,Picture,Active Pen,45,unit,0
108,Picture,Pen Brosse,10,unit,0
109,Picture,CD installation Pen,12,unit,0
110,Picture,????? ??????,1,unit,0
111,Picture,Allround Resin CoDex,40,unit,0
112,Picture,,0,unit,0
113,Picture,Support de lamp,2,unit,0
114,Picture,Micanisme de chasse,0,unit,0
115,Picture,????? ??????,5,unit,0
116,Picture,Panneau Speaker Zone,3,unit,0
117,Picture,Toner,0,unit,0
118,,scotch transparent,3,unit,0
119,Picture,scotch,6,unit,0
120,Picture,coton-tige,4 packs,unit,0
121,Picture,Patafix 80 glue,8 packs,unit,0
122,Picture,D'encre,11,unit,0
123,Picture,Stamp Pad,4,unit,0
124,Picture,Stylo bic noir,12,unit,0
125,Picture,blanco Correcteur liquide,45,unit,0
126,Picture,ruban color,30,unit,0
127,Picture,cure-dents,1 pack,unit,0
128,Picture,punaises,0,unit,0
129,Picture,gommes,2,unit,0
130,Picture,Ruban adhésif petit,3,unit,0
131,Picture,papier thermique,2,unit,0
132,Picture,papier thermique 210mmx3,1,unit,0
133,Picture,encre pour tampon,2,unit,0
134,Picture,punaises,10,unit,0
135,Picture,punaises,6,unit,0
136,Picture,Butterfly pins,1,unit,0
137,Picture,Stick note ,9,unit,0
138,Picture,crayon,4,unit,0
139,Picture,Colle UNIVERSELLE,298,unit,0
140,Picture,stylo bic ,28,unit,0
141,Picture,ballon,290,unit,0
142,Picture,Glue sticts,18,unit,0
